,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
0,hobart,AU,-73,138,-42.8794,147.3294,55.4,71,98,9.22,5/1/2021 - 9:16:29,Southern
1,albany,US,-78,98,42.6001,-73.9662,41,70,23,1.01,5/1/2021 - 9:16:30,Northern
2,esperance,AU,-29,124,-33.8667,121.9,55.4,88,5,5.75,5/1/2021 - 9:18:26,Southern
3,dikson,RU,72,75,73.5069,80.5464,24.85,88,94,7.83,5/1/2021 - 9:17:38,Northern
5,hilo,US,34,-143,19.7297,-155.09,69.8,73,40,4.61,5/1/2021 - 9:17:0,Northern
6,pisco,PE,-21,-90,-13.7,-76.2167,71.6,73,10,2.3,5/1/2021 - 9:16:59,Southern
7,hambantota,LK,1,86,6.1241,81.1185,82.4,94,40,2.3,5/1/2021 - 9:18:46,Northern
9,rikitea,PF,-26,-113,-23.1203,-134.9692,76.35,83,71,12.57,5/1/2021 - 9:16:31,Southern
10,kahului,US,22,-155,20.8947,-156.47,69.01,89,2,7,5/1/2021 - 9:17:4,Northern
11,biggar,GB,52,-108,55.6167,-3.5167,53.01,57,40,10.36,5/1/2021 - 9:17:29,Northern
12,abu samrah,SY,24,51,35.3029,37.1841,84.72,18,51,26.42,5/1/2021 - 9:17:54,Northern
15,san cristobal,VE,2,-86,7.7669,-72.225,78.8,73,40,4.61,5/1/2021 - 9:18:48,Northern
16,ishigaki,JP,22,124,24.3448,124.1572,76.32,82,100,0.85,5/1/2021 - 9:18:48,Northern
17,khatanga,RU,77,108,71.9667,102.5,22.57,91,72,5.82,5/1/2021 - 9:16:48,Northern
18,vaini,TO,-29,-175,-21.2,-175.2,75.2,94,20,12.66,5/1/2021 - 9:16:57,Southern
19,verkhoyansk,RU,70,133,67.5447,133.385,30.36,81,100,1.01,5/1/2021 - 9:18:48,Northern
20,spornoye,RU,62,151,50.8448,37.2913,68,32,0,11.18,5/1/2021 - 9:18:49,Northern
21,vilhena,BR,-13,-60,-12.7406,-60.1458,80.6,69,0,9.22,5/1/2021 - 9:16:54,Southern
22,kapaa,US,16,-172,22.0752,-159.319,73.4,83,75,12.66,5/1/2021 - 9:16:45,Northern
23,samarai,PG,-16,155,-10.6167,150.6667,79.66,81,52,9.35,5/1/2021 - 9:18:49,Southern
24,tiksi,RU,70,129,71.6872,128.8694,19.49,98,89,3.47,5/1/2021 - 9:16:54,Northern
25,klaksvik,FO,74,-1,62.2266,-6.589,41,65,75,4.61,5/1/2021 - 9:18:50,Northern
27,seoul,KR,36,128,37.5683,126.9778,48.2,87,75,6.91,5/1/2021 - 9:14:29,Northern
28,carnarvon,AU,-27,112,-24.8667,113.6333,69.8,68,100,10.36,5/1/2021 - 9:16:28,Southern
29,qaanaaq,GL,79,-85,77.484,-69.3632,33.91,63,100,6.93,5/1/2021 - 9:16:30,Northern
30,new norfolk,AU,-89,120,-42.7826,147.0587,55,63,99,3.09,5/1/2021 - 9:16:31,Southern
32,saint-andre-avellin,CA,46,-75,45.7168,-75.066,39.99,38,40,10.36,5/1/2021 - 9:18:51,Northern
33,thompson,CA,60,-94,55.7435,-97.8558,19.4,86,90,10.36,5/1/2021 - 9:16:52,Northern
34,kavaratti,IN,13,64,10.5669,72.642,85.78,68,14,2.33,5/1/2021 - 9:18:1,Northern
35,alappuzha,IN,9,75,9.49,76.3264,88,66,21,8.52,5/1/2021 - 9:18:51,Northern
36,hermanus,ZA,-74,13,-34.4187,19.2345,73.99,44,4,3,5/1/2021 - 9:16:33,Southern
38,avarua,CK,-38,-159,-21.2078,-159.775,77,83,40,6.91,5/1/2021 - 9:16:53,Southern
39,mahebourg,MU,-53,78,-20.4081,57.7,77,88,40,10.38,5/1/2021 - 9:17:42,Southern
40,mar del plata,AR,-51,-46,-38.0023,-57.5575,62.01,100,0,14.97,5/1/2021 - 9:17:12,Southern
41,busselton,AU,-54,92,-33.65,115.3333,59,93,83,2.73,5/1/2021 - 9:16:27,Southern
43,cherskiy,RU,87,159,68.75,161.3,-0.09,99,18,2.53,5/1/2021 - 9:17:32,Northern
47,hithadhoo,MV,-3,75,-0.6,73.0833,84.85,68,99,7.49,5/1/2021 - 9:16:40,Southern
48,shenjiamen,CN,29,124,29.9576,122.298,58.66,84,0,7.52,5/1/2021 - 9:18:53,Northern
50,igarka,RU,68,86,67.4667,86.5833,32.92,96,100,8.43,5/1/2021 - 9:18:53,Northern
52,punta arenas,CL,-72,-92,-53.15,-70.9167,39.2,87,40,4.61,5/1/2021 - 9:12:20,Southern
54,bredasdorp,ZA,-47,20,-34.5322,20.0403,66.2,52,0,9.22,5/1/2021 - 9:16:59,Southern
56,alofi,NU,-24,-168,-19.0595,-169.9187,75.2,100,36,3.44,5/1/2021 - 9:18:54,Southern
58,norman wells,CA,69,-122,65.282,-126.8329,28.4,74,20,2.3,5/1/2021 - 9:16:51,Northern
59,bambous virieux,MU,-35,78,-20.3428,57.7575,78.01,88,40,10.2,5/1/2021 - 9:17:3,Southern
62,brae,GB,69,-1,60.3964,-1.353,42.8,70,90,4.61,5/1/2021 - 9:16:28,Northern
63,sao joao da barra,BR,-33,-23,-21.6403,-41.0511,75.2,73,40,9.22,5/1/2021 - 9:18:55,Southern
64,bluff,NZ,-72,168,-46.6,168.3333,44.01,87,4,4,5/1/2021 - 9:16:58,Southern
65,kysyl-syr,RU,62,123,63.8986,122.7617,34.7,98,100,5.86,5/1/2021 - 9:18:55,Northern
66,severo-kurilsk,RU,45,156,50.6789,156.125,35.82,97,100,21.85,5/1/2021 - 9:17:41,Northern
67,yeppoon,AU,-19,155,-23.1333,150.7333,68,77,40,9.22,5/1/2021 - 9:18:56,Southern
68,codrington,AU,26,-57,-38.2667,141.9667,64.22,47,72,13.11,5/1/2021 - 9:18:22,Southern
69,oksfjord,NO,73,22,70.2396,22.3479,33.8,60,75,18.41,5/1/2021 - 9:18:56,Northern
70,luganville,VU,-14,164,-15.5333,167.1667,76.91,86,100,5.68,5/1/2021 - 9:18:56,Southern
72,georgetown,MY,-9,-15,5.4112,100.3354,82.4,89,20,5.75,5/1/2021 - 9:18:23,Northern
73,torbay,CA,39,-52,47.6666,-52.7314,55,82,75,27.63,5/1/2021 - 9:17:15,Northern
74,viedma,AR,-44,-60,-40.8135,-62.9967,70.63,34,95,10.87,5/1/2021 - 9:17:21,Southern
77,saskylakh,RU,88,115,71.9167,114.0833,31.57,97,100,4.05,5/1/2021 - 9:17:13,Northern
79,port lincoln,AU,-36,135,-34.7333,135.8667,60.4,73,0,14.79,5/1/2021 - 9:18:58,Southern
80,chara,RU,56,118,56.9064,118.2631,34.52,82,100,0.94,5/1/2021 - 9:18:58,Northern
82,mahdalynivka,UA,49,35,48.921,34.9156,75.2,31,0,6.71,5/1/2021 - 9:18:58,Northern
84,atuona,PF,3,-129,-9.8,-139.0333,78.12,73,19,3.04,5/1/2021 - 9:15:15,Southern
85,tuktoyaktuk,CA,78,-137,69.4541,-133.0374,5,92,75,8.05,5/1/2021 - 9:17:5,Northern
86,fomboni,KM,-14,43,-12.28,43.7425,83.37,72,4,5.73,5/1/2021 - 9:18:59,Southern
87,hirara,JP,23,126,24.8,125.2833,76.05,77,100,3.96,5/1/2021 - 9:17:6,Northern
91,ilulissat,GL,72,-52,69.2167,-51.1,37.4,52,20,8.05,5/1/2021 - 9:17:0,Northern
93,nanortalik,GL,56,-41,60.1432,-45.2371,40.35,58,52,9.69,5/1/2021 - 9:17:46,Northern
94,kodiak,US,47,-156,57.79,-152.4072,30.2,86,1,6.91,5/1/2021 - 9:18:13,Northern
95,yagodnoye,RU,62,150,62.55,149.6667,27.14,97,100,1.23,5/1/2021 - 9:19:0,Northern
